fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Rogerio Bontorin,Kai Kara-France,0,1,27 of 43,21 of 32,6 of 17,13 of 22,5 of 16,8 of 17,1 of 1,2 of 2,0 of 0,3 of 3,5 of 16,11 of 20,0 of 0,2 of 2,1 of 1,0 of 0,1 of 1,0 of 0,2,0,0,0,3:15,0:01,L,KO/TKO,1,4:55,Herb Dean,http://ufcstats.com/fight-details/873306ad79b62f5e
Tim Elliott,Jordan Espinosa,0,0,91 of 120,22 of 35,25 of 44,13 of 25,14 of 27,7 of 18,10 of 14,4 of 4,1 of 3,2 of 3,4 of 17,6 of 15,6 of 9,4 of 5,15 of 18,3 of 5,4 of 7,0 of 0,0,0,0,0,13:19,0:00,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/2704d31de2c2f43b
Kennedy Nzechukwu,Carlos Ulberg,1,0,84 of 150,146 of 227,82 of 148,146 of 227,81 of 144,101 of 175,1 of 4,31 of 37,0 of 0,14 of 15,72 of 132,132 of 210,3 of 8,14 of 17,7 of 8,0 of 0,0 of 1,0 of 0,0,0,0,0,0:05,0:05,W,KO/TKO,2,3:19,Herb Dean,http://ufcstats.com/fight-details/d170f6580e1c244f
Sean Brady,Jake Matthews,0,0,133 of 187,32 of 95,37 of 68,21 of 84,23 of 52,17 of 76,1 of 1,3 of 7,13 of 15,1 of 1,21 of 49,19 of 82,0 of 0,0 of 0,16 of 19,2 of 2,1 of 1,0 of 0,1,0,1,0,8:08,0:04,W,Submission,3,3:28,Chris Tognoni,http://ufcstats.com/fight-details/7ad09f889d2cdb6f
Livinha Souza,Amanda Lemos,0,2,1 of 7,30 of 47,1 of 7,29 of 46,0 of 4,22 of 37,0 of 1,3 of 5,1 of 2,4 of 4,1 of 7,12 of 22,0 of 0,0 of 0,0 of 0,17 of 24,0 of 0,0 of 0,0,0,0,0,0:00,1:13,L,KO/TKO,1,3:39,Jason Herzog,http://ufcstats.com/fight-details/50ef636148fa6fac
Uros Medic,Aalon Cruz,1,0,55 of 74,0 of 3,45 of 63,0 of 3,43 of 61,0 of 2,1 of 1,0 of 1,1 of 1,0 of 0,7 of 8,0 of 3,3 of 3,0 of 0,35 of 52,0 of 0,0 of 0,0 of 2,0,0,0,0,0:56,0:11,W,KO/TKO,1,1:40,Mark Smith,http://ufcstats.com/fight-details/e2abba69c3371618
Mario Bautista,Trevin Jones,0,1,43 of 64,36 of 44,21 of 42,23 of 30,11 of 27,11 of 18,6 of 11,1 of 1,4 of 4,11 of 11,16 of 35,17 of 22,5 of 7,2 of 2,0 of 0,4 of 6,0 of 0,0 of 3,0,0,0,0,0:09,1:26,L,KO/TKO,2,0:47,Chris Tognoni,http://ufcstats.com/fight-details/c096342c57a6f2c4
Jairzinho Rozenstruik,Ciryl Gane,0,0,49 of 111,128 of 202,42 of 104,102 of 176,14 of 69,33 of 83,5 of 6,23 of 32,23 of 29,46 of 61,38 of 97,98 of 172,4 of 7,3 of 3,0 of 0,1 of 1,0 of 0,2 of 14,0,0,0,0,0:00,4:29,L,Decision - Unanimous,5,5:00,Herb Dean,http://ufcstats.com/fight-details/4a704dae3091adaf
Nikita Krylov,Magomed Ankalaev,0,0,58 of 132,89 of 143,47 of 120,43 of 92,18 of 78,37 of 83,22 of 34,4 of 7,7 of 8,2 of 2,45 of 116,29 of 76,2 of 4,2 of 2,0 of 0,12 of 14,1 of 6,3 of 9,0,0,0,0,1:44,5:59,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/3a4e2dffcdd1c838
Montana De La Rosa,Mayra Bueno Silva,0,0,107 of 156,111 of 142,30 of 72,52 of 80,19 of 56,28 of 53,11 of 16,22 of 23,0 of 0,2 of 4,23 of 63,20 of 40,5 of 6,29 of 36,2 of 3,3 of 4,3 of 12,0 of 0,0,1,0,0,9:12,1:04,D,Decision - Majority,3,5:00,Jerin Valel,http://ufcstats.com/fight-details/f3ad8ad8d242678e
